search_query_original,rawg_id,name,slug,background_image,released,rating
Zelda,713743,Zelda: Monarch Madness,zelda-monarch-madness,https://media.rawg.io/media/screenshots/e0a/e0a457e1a989f6608dc69c3f8f8dd69b.jpg,2021-12-21,0.0
Zelda,27991,The Legend of Zelda: Tri Force Heroes,the-legend-of-zelda-tri-force-heroes,https://media.rawg.io/media/screenshots/eb8/eb82c4b98dacb91d5a5834c7e5570883.jpg,2015-10-23,3.47
Mario,164830,mario,mario,https://media.rawg.io/media/screenshots/1d7/1d75b9d60cb5884a0b19d21df8557c0c.jpg,2018-07-17,0.0
Mario,24919,Mario Bros.,mario-bros,https://media.rawg.io/media/screenshots/f22/f22857f426275f7a09d865a2ad2376b9.jpg,2006-11-19,3.71
Mario,52434,Mario Bros. (1983),mario-bros-1983,https://media.rawg.io/media/games/8ef/8efa90f72b466c632d7f95dd02be5e50.jpg,1983-01-01,3.6
Mario,54439,Mario Tennis (2000),mario-tennis-2000,https://media.rawg.io/media/games/426/42694e52597024bb7f444dd966ce2878.jpg,2000-07-21,4.01
Mario,54433,Mario Golf (1999),mario-golf-1999,https://media.rawg.io/media/screenshots/aba/aba305582ea5fdd51451788ee43077f0.jpg,1999-06-11,3.67
Mario,1000574,Mario Kart World,mario-kart-world,https://media.rawg.io/media/games/1b8/1b8e007c36040ae1f5762a62ba2faeab.jpg,2025-06-05,4.14
Mario,24868,Mario Strikers Charged,mario-strikers-charged,https://media.rawg.io/media/screenshots/bb9/bb9a34f9b3e192e89b5bf8dffd7f2367.jpg,2007-05-25,4.16
Mario,27138,Mario Power Tennis,mario-power-tennis,https://media.rawg.io/media/screenshots/5a2/5a2a41c745ae3120ce01399094b5b5d4.jpg,2004-10-28,4.02
Mario,54435,Mario Kart 64 (1996),mario-kart-64-1996,https://media.rawg.io/media/screenshots/b19/b196fdca25e4df755f6fafd02df158d9.jpg,1996-12-14,4.31
Mario,983876,Mario & Luigi: Brothership,mario-luigi-brothership,https://media.rawg.io/media/screenshots/75c/75c5779488d0334fba5ff8ec65ea7161.jpg,2024-11-07,4.07
Mario,966329,Mario vs. Donkey Kong,mario-vs-donkey-kong-2,https://media.rawg.io/media/games/128/128ba90b057b7c2606b8483a7cfd9960.jpg,2024-02-16,3.67
Mario,736258,Mario Strikers: Battle League,mario-strikers-battle-league,https://media.rawg.io/media/games/7bc/7bc6f95486e6ec39b959dc37a9e8093b.jpg,2022-06-10,3.08
Mario,558973,Mario Golf: Super Rush,mario-golf-super-rush,https://media.rawg.io/media/screenshots/78e/78e89d605b0f4edd14bb53463f476d09.jpg,2021-06-25,3.0
Mario,56099,Mario Golf: Toadstool Tour,mario-golf-toadstool-tour,https://media.rawg.io/media/screenshots/117/117c06f744ca4d9b6076030eb9d0ea52.jpg,2003-07-28,4.09
Mario,56097,Mario Kart: Double Dash,mario-kart-double-dash,https://media.rawg.io/media/games/379/379d8862e9dfccb12bfba3a131d99dd8.png,2003-11-07,4.37
Mario,53392,Mario Kart: Super Circuit (2001),mario-kart-super-circuit,https://media.rawg.io/media/games/243/243ffd01d85cf3db7da6bdeea8f17459.jpg,2001-07-21,3.8
Mario,29185,Mario + Rabbids Kingdom Battle,mario-rabbids-kingdom-battle,https://media.rawg.io/media/games/5be/5befaab8379bd48b8e9b97cc60b0f5e6.jpg,2017-08-29,4.11
Mario,616676,Mario + Rabbids Sparks of Hope,mario-rabbids-sparks-of-hope,https://media.rawg.io/media/games/1fa/1faa976b3f7a43195fa708d9a80e7468.jpg,2022-10-20,3.72
Mario,27392,Mario & Luigi: Superstar Saga,mario-luigi-superstar-saga,https://media.rawg.io/media/games/c48/c488b166259e38d942478c59b7508cdf.jpg,2003-11-17,4.35
Mario,53397,Mario vs. Donkey Kong (2004),mario-vs-donkey-kong,https://media.rawg.io/media/screenshots/e2f/e2fea0a0b7d38d85133980dc2a1b0202.jpg,2004-05-24,3.7
God of war,29179,God of War I,god-of-war,https://media.rawg.io/media/games/1aa/1aa4ca34a8a6bb57a2e065c8332dc230.jpg,2005-03-22,4.36
God of war,58175,God of War (2018),god-of-war-2,https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg,2018-04-20,4.54
God of war,930477,God Of War,god-of-war-3,https://media.rawg.io/media/screenshots/6c2/6c22cbdcb195414db8f60825034462ec.jpg,2023-02-17,0.0
God of war,3882,God of War: Ascension,god-of-war-ascension,https://media.rawg.io/media/games/c13/c13815d4923dc9778ff959985ad4dd43.jpg,2013-03-12,3.85
God of war,494384,God of War: Ragnarök,god-of-war-ragnarok,https://media.rawg.io/media/games/1c3/1c305096502c475c00276c827f0fd697.jpg,2022-11-09,4.42
God of war,989140,God of War Ragnarök,god-of-war-ragnarok-2,https://media.rawg.io/media/screenshots/3c4/3c4c51b66741363d83b56ce66b1240ec.jpg,N/A,4.5
God of war,39707,God of War II,god-of-war-ii,https://media.rawg.io/media/games/615/615e9fc0a325e0d87b84dad029b8b7b9.jpg,2007-03-13,4.39
God of war,4852,God of War Collection,god-of-war-collection,https://media.rawg.io/media/screenshots/5bb/5bbc83c6b4789122cc30b62877a9dcf6.jpg,2009-11-17,4.24
God of war,4853,God of War: Ghost of Sparta,god-of-war-ghost-of-sparta,https://media.rawg.io/media/games/5c2/5c2aef36106ee4751cdfda8fd408aaf5.jpg,2010-11-02,4.16
God of war,4607,God of War: Origins Collection,god-of-war-origins-collection,https://media.rawg.io/media/games/915/915f5b3103798a5832bbdb3362a0b610.jpg,2011-09-13,4.0
God of war,973384,God of War Ragnarok: Valhalla,god-of-war-ragnarok-valhalla,https://media.rawg.io/media/screenshots/1d3/1d37ed8c21e856d71c06874c17916981.jpg,2023-12-12,4.02
God of war,5574,God of War: Chains of Olympus,god-of-war-chains-of-olympus,https://media.rawg.io/media/games/43d/43d96923f98c75727bd55b676fb3b6d3.jpg,2008-03-04,4.14
God of war,3265,God of War III Remastered,god-of-war-iii-remastered,https://media.rawg.io/media/games/4b6/4b67558bf04c7211aabeff179271bdd8.jpg,2015-07-14,4.12
God of war,468988,God of War: Betrayal,god-of-war-betrayal,https://media.rawg.io/media/screenshots/196/1964eb4e0c9d839e778ceb910e30b280.jpg,2007-06-20,4.0
God of war,39039,God of War III,god-of-war-iii,https://media.rawg.io/media/games/289/289951d92239d05f2a663d632aa3888a.jpg,2010-03-16,4.4
God of war,183703,God of War: Zoro's Wrath,god-of-war-zoros-wrath,https://media.rawg.io/media/screenshots/8e9/8e9d3ff1261c51ef687637e4970a1170.jpg,2017-01-29,0.0
God of war,919110,God of War... but pixelated...,god-of-war-but-pixelated,https://media.rawg.io/media/screenshots/b7d/b7d39db1df861ca0d635c1527ca9a28a.jpg,2023-01-31,0.0
God of war,66825,God of War | Mimir’s Vision,god-of-war-mimirs-vision,https://media.rawg.io/media/screenshots/5c8/5c872e4403e898b5de370d40dfa61374.jpg,2018-04-22,0.0
